symbol,date,open,high,low,close,adjusted_close,volume
SPY,2024-08-26,563.18,563.91,559.05,560.79,549.2243,35788600
AAPL,2024-08-27,226.0,228.85,224.89,228.03,226.5419,35934600
MSFT,2024-08-27,412.86,414.36,410.25,413.84,409.0552,13492910
NVDA,2024-08-27,125.05,129.2,123.88,128.3,128.2382,303134594
SPY,2024-08-27,559.49,562.06,558.32,561.56,549.9784,32693900
AAPL,2024-08-28,227.92,229.86,225.68,226.49,225.0119,38052200
MSFT,2024-08-28,414.88,415.0,407.31,410.6,405.8527,14882660
NVDA,2024-08-28,128.12,128.33,122.64,125.61,125.5495,448101094
SPY,2024-08-28,561.21,561.65,555.04,558.3,546.7856,41066000
AAPL,2024-08-29,230.1,232.92,228.88,229.79,228.2904,51906300
MSFT,2024-08-29,414.94,422.05,410.6,413.12,408.3436,17045240
NVDA,2024-08-29,121.355,124.43,116.71,117.59,117.5333,453023281
SPY,2024-08-29,560.31,563.68,557.18,558.35,546.8346,38715200
AAPL,2024-08-30,230.19,230.4,227.48,229.0,227.5055,52990800
MSFT,2024-08-30,415.6,417.49,412.13,417.14,412.3171,24308320
NVDA,2024-08-30,119.53,121.75,117.22,119.37,119.3125,333751625
SPY,2024-08-30,560.77,564.2,557.14,563.68,552.0547,62700100
AAPL,2024-09-03,228.55,229.0,221.17,222.77,221.3162,50190600
MSFT,2024-09-03,417.91,419.88,407.03,409.44,404.7061,20294500
NVDA,2024-09-03,116.01,116.21,107.29,108.0,107.948,474972000
SPY,2024-09-03,560.47,560.81,549.51,552.08,540.6939,60600100
AAPL,2024-09-04,221.66,221.78,217.48,220.85,219.4087,43840200
MSFT,2024-09-04,405.91,411.24,404.37,408.9,404.1724,15135810
NVDA,2024-09-04,105.41,113.27,104.12,106.21,106.1588,372470312
SPY,2024-09-04,550.2,554.43,549.46,550.95,539.5872,47224900
AAPL,2024-09-05,221.63,225.48,221.52,222.38,220.9287,36615400
MSFT,2024-09-05,407.62,413.1,406.13,408.39,403.6682,14195520
NVDA,2024-09-05,104.985,109.65,104.76,107.21,107.1583,306850688
SPY,2024-09-05,550.89,553.8,547.1,549.61,538.2748,44264300
AAPL,2024-09-06,223.95,225.24,219.77,220.82,219.3789,48423000
MSFT,2024-09-06,409.06,410.65,400.8,401.7,397.0556,19609529
NVDA,2024-09-06,108.04,108.15,100.95,102.83,102.7804,413638125
SPY,2024-09-06,549.94,551.6,539.44,540.36,529.2156,68493800
AAPL,2024-09-09,220.82,221.27,216.71,220.91,219.4683,67180000
MSFT,2024-09-09,407.24,408.65,402.15,405.72,401.0291,15295130
NVDA,2024-09-09,104.88,106.55,103.69,106.47,106.4187,273912000
SPY,2024-09-09,544.65,547.71,542.68,546.41,535.1408,40445800
AAPL,2024-09-10,218.92,221.48,216.73,220.11,218.6735,51591000
MSFT,2024-09-10,408.2,416.33,407.7,414.2,409.4111,19594289
NVDA,2024-09-10,107.81,109.4,104.95,108.1,108.0479,268283688
SPY,2024-09-10,548.36,549.15,543.38,548.79,537.4718,36394600
AAPL,2024-09-11,221.46,223.09,217.89,222.66,221.2069,44587100
MSFT,2024-09-11,415.5,423.99,409.58,423.04,418.1489,19266920
NVDA,2024-09-11,109.39,117.19,107.42,116.91,116.8537,441422406
SPY,2024-09-11,548.7,555.36,539.96,554.42,542.9856,75248600
AAPL,2024-09-12,222.5,223.55,219.82,222.77,221.3162,37455600
MSFT,2024-09-12,423.31,427.3692,419.75,427.0,422.0631,17418760
NVDA,2024-09-12,116.84,120.79,115.38,119.14,119.0928,367100500
SPY,2024-09-12,555.01,559.4,552.74,559.09,547.5593,51819600
AAPL,2024-09-13,223.58,224.04,221.91,222.5,221.048,36766600
MSFT,2024-09-13,425.825,431.83,425.46,430.59,425.6116,15874560
NVDA,2024-09-13,119.08,119.955,117.6,119.1,119.0528,238358297
SPY,2024-09-13,559.71,563.03,559.45,562.01,550.4191,39310500
AAPL,2024-09-16,216.54,217.22,213.92,216.32,214.9083,59357400
MSFT,2024-09-16,430.6,433.53,428.22,431.34,426.3529,13834700
NVDA,2024-09-16,116.79,118.18,114.36,116.78,116.7337,248772297
SPY,2024-09-16,561.74,563.11,559.9,562.84,551.232,36656100
AAPL,2024-09-17,215.75,216.9,214.5,216.79,215.3752,45519300
MSFT,2024-09-17,440.23,441.85,432.27,435.15,430.1189,18874230
NVDA,2024-09-17,118.17,118.8,114.83,115.59,115.5442,231925906
SPY,2024-09-17,565.1,566.58,560.79,563.07,551.4572,49321000
AAPL,2024-09-18,217.55,222.71,217.54,220.69,219.2498,59894900
MSFT,2024-09-18,435.0,436.03,430.41,430.81,425.829,18898039
NVDA,2024-09-18,115.89,117.7,113.22,113.37,113.3251,310318906
SPY,2024-09-18,563.74,568.69,560.83,561.4,549.8217,59044900
AAPL,2024-09-19,224.99,229.82,224.63,228.87,227.3764,66781300
