,Instrument,EXPIR_DATE,PUTCALLIND,STRIKE_PRC,BIDSIZE,BID,ASK,ASKSIZE,TRDPRC_1,HST_CLOSE,HSTCLSDATE,ACVOL_UNS,OPINT_1,OPINTNC,MID_IV,DELTA,GAMMA,THETA,VEGA,RHO
120,SPXb202648000.U,2026-02-20,CALL,4800,1,2175.6,2182.7,1,,2161.0,2026-01-26,,156,0,79.6379,0.9716,0.0,-2.363,1.1733,3.0857
121,SPXn202648000.U,2026-02-20,PUT ,4800,978,0.6,0.8,1094,,0.65,2026-01-26,,8270,-27,52.1629,-0.0024,0.0,-0.142,0.1357,-0.0118
122,SPXb202648250.U,2026-02-20,CALL,4825,1,2150.7,2157.8,1,,2136.1,2026-01-26,,5,0,78.7205,0.9712,0.0,-2.3635,1.1858,3.1008
123,SPXn202648250.U,2026-02-20,PUT ,4825,1093,0.6,0.8,886,,0.7,2026-01-26,,10754,8997,51.4938,-0.0024,0.0,-0.1417,0.1373,-0.0119
124,SPXb202648500.U,2026-02-20,CALL,4850,1,2125.8,2132.9,1,,2111.2,2026-01-26,,6,0,77.8065,0.9709,0.0,-2.3639,1.1986,3.1159
125,SPXn202648500.U,2026-02-20,PUT ,4850,789,0.65,0.85,1110,,0.7,2026-01-26,,1779,-1,51.1786,-0.0026,0.0,-0.1499,0.1461,-0.0128
126,SPXb202648750.U,2026-02-20,CALL,4875,1,2100.9,2108.0,1,,2086.3,2026-01-26,,1,0,76.8957,0.9705,0.0,-2.3643,1.2116,3.1309
127,SPXn202648750.U,2026-02-20,PUT ,4875,1040,0.65,0.85,896,,0.75,2026-01-26,,1330,2,50.5115,-0.0027,0.0,-0.1496,0.1478,-0.0129
128,SPXb202649000.U,2026-02-20,CALL,4900,1,2075.8,2082.4,21,,2061.4,2026-01-26,,4,0,75.6178,0.9707,0.0,-2.3267,1.2058,3.1488
129,SPXn202649000.U,2026-02-20,PUT ,4900,827,0.7,0.9,1069,,0.8,2026-01-26,,2939,161,50.1737,-0.0028,0.0,-0.1577,0.1568,-0.0138
130,SPXb202649250.U,2026-02-20,CALL,4925,1,2051.0,2057.9,26,,2036.5,2026-01-26,,0,0,74.9215,0.97,0.0,-2.348,1.2297,3.1621
131,SPXn202649250.U,2026-02-20,PUT ,4925,1165,0.7,0.9,896,,0.8,2026-01-26,,1570,65,49.5087,-0.0029,0.0,-0.1574,0.1587,-0.014
132,SPXb202649500.U,2026-02-20,CALL,4950,1,2026.0,2032.9,21,,2011.6,2026-01-26,,6,0,73.9413,0.9697,0.0,-2.3398,1.239,3.1777
133,SPXn202649500.U,2026-02-20,PUT ,4950,950,0.75,0.95,1170,,0.8,2026-01-26,,2469,0,49.151,-0.0031,0.0,-0.1653,0.1679,-0.0149
134,SPXb202649750.U,2026-02-20,CALL,4975,1,2001.1,2008.0,21,,1986.7,2026-01-26,,2,0,73.0456,0.9693,0.0,-2.3399,1.2527,3.1926
135,SPXn202649750.U,2026-02-20,PUT ,4975,1005,0.75,0.95,861,,0.9,2026-01-26,,1363,0,48.4881,-0.0031,0.0,-0.1649,0.1698,-0.0151
